Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  QWidget::setMinimumSize(QSize const&)
  0.00      0.00     0.00        1     0.00     0.00  Ui_Form::retranslateUi(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  Ui_Form::setupUi(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  registr::registr(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  registr::~registr()
  0.00      0.00     0.00        1     0.00     0.00  registr::~registr()
  0.00      0.00     0.00        1     0.00     0.00  ANetwork::get(QString, int)
  0.00      0.00     0.00        1     0.00     0.00  ANetwork::RealGet(QString)
  0.00      0.00     0.00        1     0.00     0.00  ANetwork::ANetwork()
  0.00      0.00     0.00        1     0.00     0.00  ANetwork::~ANetwork()
  0.00      0.00     0.00        1     0.00     0.00  Ui_Dialog::retranslateUi(QDialog*)
  0.00      0.00     0.00        1     0.00     0.00  Ui_Dialog::setupUi(QDialog*)
  0.00      0.00     0.00        1     0.00     0.00  QLatin1String::size() const
  0.00      0.00     0.00        1     0.00     0.00  QLatin1String::latin1() const
  0.00      0.00     0.00        1     0.00     0.00  QFlag::operator unsigned int() const
  0.00      0.00     0.00        1     0.00     0.00  QRect::height() const
  0.00      0.00     0.00        1     0.00     0.00  QFlags<Qt::WindowType>::operator|(Qt::WindowType) const
  0.00      0.00     0.00        1     0.00     0.00  QWidget::geometry() const
  0.00      0.00     0.00        1     0.00     0.00  operator|(Qt::WindowType, Qt::WindowType)

			Call graph


granularity: each sample hit covers 4 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00      26/1490        QtPrivate::RefCount::isShared() const [30]
                0.00    0.00     501/1490        QtPrivate::RefCount::ref() [8]
                0.00    0.00     963/1490        QtPrivate::RefCount::deref() [4]
[2]      0.0    0.00    0.00    1490         QBasicAtomicInteger<int>::load() const [2]
-----------------------------------------------
                0.00    0.00       8/1002        QList<ACore::ASett>::replace(int, ACore::ASett const&) [43]
                0.00    0.00       9/1002        QArrayData::data() [33]
                0.00    0.00     487/1002        QScopedPointer<QObjectData, QScopedPointerDeleter<QObjectData> >::operator->() const [12]
                0.00    0.00     498/1002        QString::QString(QString const&) [11]
[3]      0.0    0.00    0.00    1002         qt_noop() [3]
-----------------------------------------------
                0.00    0.00       1/963         QList<PrivateMessage>::~QList() [167]
                0.00    0.00       1/963         QList<AChate>::~QList() [169]
                0.00    0.00       1/963         QList<Client>::~QList() [171]
                0.00    0.00       1/963         QList<UniKey>::detach_helper_grow(int, int) [173]
                0.00    0.00       1/963         QList<UniKey>::~QList() [176]
                0.00    0.00       1/963         QList<AServer>::~QList() [178]
                0.00    0.00       1/963         QList<UniClient>::~QList() [181]
                0.00    0.00       1/963         QList<ACore::ASett>::detach_helper_grow(int, int) [183]
                0.00    0.00       1/963         QList<ACore::ASett>::~QList() [186]
                0.00    0.00       1/963         QList<QList<PrivateMessage> >::~QList() [188]
                0.00    0.00       2/963         QList<AQuest>::~QList() [97]
                0.00    0.00       4/963         QList<QString>::detach_helper_grow(int, int) [73]
                0.00    0.00       5/963         QList<QString>::~QList() [66]
                0.00    0.00       7/963         QList<QString>::~QList() [50]
                0.00    0.00      13/963         QByteArray::~QByteArray() [32]
                0.00    0.00     922/963         QString::~QString() [5]
[4]      0.0    0.00    0.00     963         QtPrivate::RefCount::deref() [4]
                0.00    0.00     963/1490        QBasicAtomicInteger<int>::load() const [2]
                0.00    0.00     872/872         QBasicAtomicInteger<int>::deref() [7]
-----------------------------------------------
                0.00    0.00       1/922         MainWindow::MainWindow(QWidget*) [120]
                0.00    0.00       1/922         ACore::ALog::~ALog() [159]
                0.00    0.00       1/922         ANetwork::RealGet(QString) [213]
                0.00    0.00       2/922         registr::registr(QWidget*) [209]
                0.00    0.00       2/922         Kabinet::Kabinet(QWidget*) [198]
                0.00    0.00       2/922         Dialog::Dialog(QWidget*) [193]
                0.00    0.00       2/922         AChat::GetServersList() [151]
                0.00    0.00       2/922         ANetwork::get(QString, int) [212]
                0.00    0.00       3/922         Ui_Loading::retranslateUi(QWidget*) [127]
                0.00    0.00       4/922         Dialog::on_checkBox_stateChanged(int) [192]
                0.00    0.00       4/922         Ui_Form::retranslateUi(QWidget*) [207]
                0.00    0.00       5/922         Ui_Loading::setupUi(QWidget*) [128]
                0.00    0.00       5/922         AChat::CheckBoxUpdate() [150]
                0.00    0.00       5/922         QList<QString>::node_destruct(QList<QString>::Node*, QList<QString>::Node*) [103]
                0.00    0.00       5/922         Style::~Style() [190]
                0.00    0.00       6/922         qMain(int, char**) [117]
                0.00    0.00       6/922         ACore::timeEx(QTime) [160]
                0.00    0.00       8/922         ACore::ALog::SaveLog() [156]
                0.00    0.00       8/922         Ui_Form::setupUi(QWidget*) [208]
                0.00    0.00       9/922         Ui_Dialog::retranslateUi(QDialog*) [216]
                0.00    0.00      10/922         Ui_registr::retranslateUi(QDialog*) [129]
                0.00    0.00      10/922         ACore::ALog::operator<<(QString) [63]
                0.00    0.00      12/922         AChat::~AChat() [155]
                0.00    0.00      12/922         ACore::ASettings::LoadSettings() [161]
                0.00    0.00      13/922         AChat::AChat() [153]
                0.00    0.00      16/922         UniKey::~UniKey() [45]
                0.00    0.00      17/922         Ui_registr::setupUi(QDialog*) [130]
                0.00    0.00      17/922         operator+(QString const&, char const*) [31]
                0.00    0.00      18/922         Ui_Dialog::setupUi(QDialog*) [217]
                0.00    0.00      19/922         Ui_MainWindow::retranslateUi(QMainWindow*) [136]
                0.00    0.00      20/922         Client::~Client() [108]
                0.00    0.00      30/922         AChat::LoadSettings() [149]
                0.00    0.00      34/922         Ui_MainWindow::setupUi(QMainWindow*) [137]
                0.00    0.00      65/922         Ui_Kabinet::retranslateUi(QDialog*) [125]
                0.00    0.00      86/922         Ui_Kabinet::setupUi(QDialog*) [126]
                0.00    0.00     462/922         ACore::ASett::~ASett() [16]
[5]      0.0    0.00    0.00     922         QString::~QString() [5]
                0.00    0.00     922/963         QtPrivate::RefCount::deref() [4]
                0.00    0.00      91/91          QTypedArrayData<unsigned short>::deallocate(QArrayData*) [25]
-----------------------------------------------
                0.00    0.00     872/872         QBasicAtomicInteger<int>::deref() [7]
[6]      0.0    0.00    0.00     872         bool QBasicAtomicOps<4>::deref<int>(int&) [6]
-----------------------------------------------
                0.00    0.00     872/872         QtPrivate::RefCount::deref() [4]
[7]      0.0    0.00    0.00     872         QBasicAtomicInteger<int>::deref() [7]
                0.00    0.00     872/872         bool QBasicAtomicOps<4>::deref<int>(int&) [6]
-----------------------------------------------
                0.00    0.00       3/501         QList<QString>::QList(QList<QString> const&) [87]
                0.00    0.00     498/501         QString::QString(QString const&) [11]
[8]      0.0    0.00    0.00     501         QtPrivate::RefCount::ref() [8]
                0.00    0.00     501/1490        QBasicAtomicInteger<int>::load() const [2]
                0.00    0.00     500/500         QBasicAtomicInteger<int>::ref() [10]
-----------------------------------------------
                0.00    0.00     500/500         QBasicAtomicInteger<int>::ref() [10]
[9]      0.0    0.00    0.00     500         bool QBasicAtomicOps<4>::ref<int>(int&) [9]
-----------------------------------------------
                0.00    0.00     500/500         QtPrivate::RefCount::ref() [8]
[10]     0.0    0.00    0.00     500         QBasicAtomicInteger<int>::ref() [10]
                0.00    0.00     500/500         bool QBasicAtomicOps<4>::ref<int>(int&) [9]
-----------------------------------------------
                0.00    0.00       1/498         ANetwork::get(QString, int) [212]
                0.00    0.00       5/498         operator+(QString const&, QString const&) [69]
                0.00    0.00       6/498         ACore::ASettings::LoadSettings() [161]
                0.00    0.00       8/498         UniKey::UniKey(UniKey const&) [75]
                0.00    0.00       8/498         QList<QString>::value(int) const [47]
                0.00    0.00       9/498         QList<QString>::node_construct(QList<QString>::Node*, QString const&) [34]
                0.00    0.00      17/498         operator+(QString const&, char const*) [31]
                0.00    0.00     444/498         ACore::ASett::ASett(ACore::ASett const&) [18]
[11]     0.0    0.00    0.00     498         QString::QString(QString const&) [11]
                0.00    0.00     498/1002        qt_noop() [3]
                0.00    0.00     498/501         QtPrivate::RefCount::ref() [8]
-----------------------------------------------
                0.00    0.00       2/487         ANetwork::metaObject() const [734]
                0.00    0.00       6/487         ATcpNetwork::metaObject() const [665]
                0.00    0.00      10/487         AChat::metaObject() const [681]
                0.00    0.00      22/487         Kabinet::metaObject() const [714]
                0.00    0.00      24/487         Loading::metaObject() const [715]
                0.00    0.00      25/487         registr::metaObject() const [733]
                0.00    0.00      40/487         MainWindow::metaObject() const [662]
                0.00    0.00     151/487         Dialog::metaObject() const [707]
                0.00    0.00     207/487         Form::metaObject() const [671]
[12]     0.0    0.00    0.00     487         QScopedPointer<QObjectData, QScopedPointerDeleter<QObjectData> >::operator->() const [12]
                0.00    0.00     487/1002        qt_noop() [3]
-----------------------------------------------
                0.00    0.00       2/297         QList<UniKey>::value(int) const [113]
                0.00    0.00       3/297         QList<UniKey>::size() const [91]
                0.00    0.00       8/297         QList<ACore::ASett>::replace(int, ACore::ASett const&) [43]
                0.00    0.00       8/297         QList<QString>::size() const [46]
                0.00    0.00       8/297         QList<QString>::value(int) const [47]
                0.00    0.00     126/297         QList<ACore::ASett>::size() const [20]
                0.00    0.00     142/297         QList<ACore::ASett>::value(int) const [19]
[13]     0.0    0.00    0.00     297         QListData::size() const [13]
-----------------------------------------------
